"BType","count","mean_BLOSUM_score","median_BLOSUM_score","min_BLOSUM_score","max_BLOSUM_score","mean_similarity","median_similarity","min_similarity","max_similarity","mean_perplexity","median_perplexity","min_perplexity","max_perplexity"
"ASC",76,98.4210526315789,-5,-86,567,31.4785819046242,18.6915887850467,6.60377358490566,96.4601769911504,1.78308555954381,1.71643495559692,1.23484826087952,4.85666465759277
"CD27-memory-and-Plasmablast/Plasma-B-Cells",1973,110.467815509377,5,-133,575,33.1484740478585,18.6915887850467,2.80373831775701,99.0654205607477,1.8558698058793,1.7853969335556,1.29037797451019,6.43061494827271
"Memory-B-Cells",24319,110.875776142111,8,-153,584,33.2844287451124,19.4444444444444,0,100,2.05119112115965,1.79823851585388,1.23484826087952,50.2256126403809
"Naive-B-Cells",13591,117.43146199691,15,-136,578,34.7971413654848,20.5607476635514,2.83018867924528,100,1.44210623540535,1.39694440364838,1.2342312335968,36.9122581481934
"Plasma-B-Cells",1892,112.854122621564,5.5,-142,541,33.5706880524361,19.4444444444444,1.85185185185185,95.4545454545455,2.00146177549695,1.91239112615585,1.27454233169556,9.4901819229126
"Plasmablast",692,114.985549132948,13,-126,545,33.8283485605387,19.811320754717,0.943396226415094,95.2830188679245,1.9897648473351,1.91501832008362,1.23484826087952,5.61731576919556
"Plasmablast/Plasma-B-Cells",879,90.2013651877133,-3,-154,537,30.2282659543741,18.5185185185185,1.85185185185185,93.5779816513761,2.0994142102707,1.97870743274689,1.30212104320526,10.0921869277954
"RV+B-Cells",17,63.9411764705882,-24,-73,510,26.6004061275152,15.7407407407407,8.18181818181818,91.588785046729,1.46365569619571,1.4217472076416,1.27224385738373,1.6876300573349
"Unsorted-B-Cells",23452,110.025200409347,8,-154,587,33.3522391602686,19.6261682242991,0.952380952380952,100,1.72420946073658,1.63378620147705,1.2342312335968,38.091423034668
"double-nagative-B-cells",318,100.801886792453,3.5,-114,552,31.7158540622801,18.7797566566743,2.80373831775701,95.4545454545455,1.9197069987561,1.84344577789307,1.30170941352844,6.51293802261353
